corp_code,corp_name,stock_code,ceo_nm,induty_code,adres,hm_url,est_dt,acc_mt,updated_at
00133557,PN풍년,024940,유재원,464,경기도 안산시 단원구 별망로 620,www.pn.co.kr,19731117,12,2026-07-09T22:25:11
00129280,삼화전자공업,011230,"오영주, 이건화",265,경기도 용인시 처인구  남사면 경기동로 215 삼화전자공업(주),www.samwha.co.kr,19760401,12,2026-07-09T22:25:12
00141608,오리엔탈정공,014940,박세철,291,부산광역시 강서구  녹산산단289로 6 오리엔탈정공,www.opco.co.kr,19800719,12,2026-07-09T22:25:12
00130046,다함이텍,009280,안성수,26,"서울특별시 금천구 가산디지털1로 45 12층 1209호(가산동, 이앤씨드림타워8차)",www.da-haam.com,19730929,12,2026-07-09T22:25:12
00404288,아진엑스텍,059120,김창호,2611,대구광역시 달서구 성서공단로11길 27,www.ajinextek.com,19971229,12,2026-07-09T22:25:12
00135467,승일,049830,현창수,259,충청남도 천안시 서북구  직산읍 4산단1길 10,sungroup.kr/seungilsun/,19781226,12,2026-07-09T22:25:13
00260383,대한유화,006650,강길순,20111,서울특별시 종로구  자하문로 77 유남빌딩,www.kpic.co.kr,19700602,12,2026-07-09T22:25:13
01301252,티이엠씨,425040,유원양,20121,"충청북도 보은군 삼승면 남부로 3750-148(우진리,티이엠씨)",temc.co.kr/,20150126,12,2026-07-09T22:25:13
00579971,칩스앤미디어,094360,김상현,261,"서울특별시 강남구 테헤란로 509 엔씨타워1  7층,8층",www.chipsnmedia.com,20030306,12,2026-07-09T22:25:14
00364847,이글루,067920,이득춘,639,서울특별시 송파구 정의로8길 7 한스빌딩,igloo.co.kr,19991102,12,2026-07-09T22:25:14
00883980,아이디스,143160,김영달,26429,대전 유성구 관평동 1301,www.idisglobal.com,20110701,12,2026-07-09T22:25:14
00604426,인터로조,119610,노시철,271,경기도 평택시  산단로15번길 28,interojo.com,20001025,12,2026-07-09T22:25:15
00491053,진바이오텍,086060,이찬호,462,충청남도 공주시  계룡면 신원사로 166,www.genebiotech.co.kr,20000315,12,2026-07-09T22:25:15
01102095,쿠첸,225650,박재순,28511,"서울특별시 강남구 삼성로 530 (삼성동, 부방빌딩)",www.cuchen.com,20150804,12,2026-07-09T22:25:16
00359580,아이디스홀딩스,054800,김영달,71600,대전 유성구 관평동 1301,www.idisholdings.co.kr,19970924,12,2026-07-09T22:25:16
00145109,유한양행,000100,대표이사 조욱제,212,서울특별시 동작구  노량진로 74,www.yuhan.co.kr,19260620,12,2026-07-09T22:25:16
00201131,아즈텍WB,032080,허 재 명,13402,부산광역시 사하구 하신번영로 99,www.aztechwb.com,19701020,12,2026-07-09T22:25:17
00925189,신화콘텍,187270,이정진,2812,경기도 안양시 만안구 일직로94번길 3 (석수동),www.sh-ct.co.kr,20021023,12,2026-07-09T22:25:17
00132628,성문전자,014910,신준섭,26291,경기도 평택시  세교산단로 61,www.smec-korea.co.kr,19800711,12,2026-07-09T22:25:17
01119651,엘리비젼,276240,안덕근,26519,인천광역시 연수구 하모니로 230정호ENC 3층,www.elivision.com/,20040127,12,2026-07-09T22:25:18
00866062,엘티씨,170920,최호성,20119,경기도 화성시 마도면 청원산단8길 114 (경기화성바이오밸리),www.l-tech.co.kr,20071123,12,2026-07-09T22:25:18
00305297,코텍,052330,김영달,26519,인천광역시 연수구 벤처로24번길 26,www.kortek.co.kr,19870306,12,2026-07-09T22:25:18
00413523,한미글로벌,053690,"윤요현, 박서영",72111,서울특별시 강남구 테헤란로87길 36 도심공항타워 층,www.hanmiparsons.com,19960618,12,2026-07-09T22:25:18
00185222,크린앤사이언스,045520,곽규범,291,서울 강남구 삼성동 159-1 무역회관 903-1호,www.cands.co.kr,19791231,12,2026-07-09T22:25:19
01115044,안지오랩,251280,김민영,70113,대전광역시 유성구 테크노3로 65,www.angiolab.co.kr,19990603,12,2026-07-09T22:25:19
00142883,우신시스템,017370,허우영,292,서울특별시 영등포구  영등포로 20,www.wooshinsys.co.kr,19840223,12,2026-07-09T22:25:19
01188749,지앤이헬스케어,299480,장영민,13999,"경기도 하남시 초광산단동로6번길 55(광암동, 지앤이빌딩)",www.hannahpad.com,20140204,12,2026-07-09T22:25:20
00161781,아난티,025980,이만규,551,충청북도 진천군  백곡면 배티로 818-105,www.ananti.kr,19870116,12,2026-07-09T22:25:20
00612188,에스티오,098660,김흥수,1419,"서울특별시 강서구  양천로 583 우림블루나인 (염창동, 우림블루나인비즈니스센터비동 15층)",www.thesto.kr,20030222,12,2026-07-09T22:25:20
00980122,JB금융지주,175330,김기홍,64992,전라북도 전주시 덕진구  백제대로 566,www.jbfg.com,20130701,12,2026-07-09T22:25:20
01505186,하이딥,365590,고범규,261,경기도 성남시 분당구 대왕판교로644번길 49 DTC타워 10층(삼평동),www.hideep.com,20200909,12,2026-07-09T22:25:21
00137012,에스앤더블류,103230,정우진,29111,부산광역시 사하구  다대로170번길 29,www.snwcorp.com,19900208,12,2026-07-09T22:25:21
00118275,디아이,003160,박원호 조윤형,27212,서울특별시 강남구  논현로 703,www.di.co.kr,19610316,12,2026-07-09T22:25:21
00235183,에이치케이,044780,계명재,29221,경기도 화성시 양감면 사릅재길 117,www.hk-global.com,19900530,12,2026-07-09T22:25:22
00807397,코이즈,121850,조재형,222,충청북도 충주시  대소원면 첨단산업로 146 코이즈,www.koyj.co.kr,20060216,12,2026-07-09T22:25:22
00352718,소리바다,053110,"신종태, 오재명",631,"서울특별시 강남구 도산대로 217 3층(신사동, 강남빌딩)",www.soribada.com/corp,19980813,12,2026-07-09T22:25:22
00133876,세보엠이씨,011560,"김우영,이원하(각자 대표이사)",422,서울특별시 서초구  효령로 341,www.sebomec.com,19780726,12,2026-07-09T22:25:23
00500254,GS,078930,"허태수, 홍순기 (각자 대표이사)",64992,서울특별시 강남구 논현로 508,-,20040701,12,2026-07-09T22:25:23
00113359,교보증권,030610,"박봉권, 이석기 (각자대표)",66121,서울특별시 영등포구 의사당대로 97 교보증권빌딩,www.iprovest.com,19491122,12,2026-07-09T22:25:23
00347062,현대바이오랜드,052260,이희준,204,충청북도 청주시 흥덕구 오송읍 오송생명2로 22 SK 바이오랜드 오송공장,www.hyundaibioland.co.kr,19950901,12,2026-07-09T22:25:23
00264732,파인디지털,038950,김용훈,2642,경기도 성남시 분당구 성남대로925번길 41,www.finedigital.com,19921020,12,2026-07-09T22:25:24
00879020,유니트론텍,142210,남궁선,46522,"서울특별시 강남구 영동대로 638 9층(삼성동, 삼보빌딩)",www.unitrontech.com,19960619,12,2026-07-09T22:25:24
00295547,디지아이,043360,최동호,263,경기도 양주시 청담로 52 (주)디지아이,www.dgi-net.com,19911128,12,2026-07-09T22:25:24
00186717,태양,053620,현창수,25991,충청남도 천안시 서북구  업성1길 27 태양산업(주),sungroup.kr/taeyangsun/,19891014,12,2026-07-09T22:25:25
00177816,대주전자재료,078600,"임일지,임중규(각자대표)",2629,경기 시흥시 정왕동 1236-10,www.daejoo.co.kr,19810706,12,2026-07-09T22:25:25
00351807,대원미디어,048910,"정욱, 정동훈",467,"서울특별시 용산구 한강대로23길 55 6층 1-1호(한강로3가,현대아이파크몰 테마파크)",daewonmedia.com,19771206,12,2026-07-09T22:25:25
00669450,바이오프로테크,199290,"박익로,김병전 (공동대표이사)",271,강원도 원주시 문막읍 동화공단로 151-3(동화첨단의료기기산업단지),www.protechsite.com,20000519,12,2026-07-09T22:25:26
