corp_code,corp_name,year,report_code,fs_div,account_nm,amount
00401731,LG전자,2023,11011,CFS,투자활동현금흐름,-5289705000000
00401731,LG전자,2023,11011,CFS,재무활동현금흐름,1503249000000
00401731,LG전자,2022,11011,CFS,자산총계,55156141000000
00401731,LG전자,2022,11011,CFS,부채총계,32664144000000
00401731,LG전자,2022,11011,CFS,자본총계,22491997000000
00401731,LG전자,2022,11011,CFS,매출액,83467318000000
00401731,LG전자,2022,11011,CFS,매출원가,63231088000000
00401731,LG전자,2022,11011,CFS,매출총이익,20236230000000
00401731,LG전자,2022,11011,CFS,영업이익,3550972000000
00401731,LG전자,2022,11011,CFS,당기순이익,1863123000000
00401731,LG전자,2022,11011,CFS,영업활동현금흐름,3107839000000
00401731,LG전자,2022,11011,CFS,투자활동현금흐름,-3227546000000
00401731,LG전자,2022,11011,CFS,재무활동현금흐름,448320000000
00401731,LG전자,2021,11011,CFS,자산총계,53481478000000
00401731,LG전자,2021,11011,CFS,부채총계,33383445000000
00401731,LG전자,2021,11011,CFS,자본총계,20098033000000
00401731,LG전자,2021,11011,CFS,매출액,74721629000000
00401731,LG전자,2021,11011,CFS,매출원가,55848752000000
00401731,LG전자,2021,11011,CFS,매출총이익,18872877000000
00401731,LG전자,2021,11011,CFS,영업이익,3863774000000
00401731,LG전자,2021,11011,CFS,당기순이익,1414972000000
00401731,LG전자,2021,11011,CFS,영업활동현금흐름,2677382000000
00401731,LG전자,2021,11011,CFS,투자활동현금흐름,-2465536000000
00401731,LG전자,2021,11011,CFS,재무활동현금흐름,-282268000000
00401731,LG전자,2023,11011,CFS,당기순이익,1150611000000
00105873,LG디스플레이,2024,11011,CFS,당기순이익,-2409300000000
00126380,삼성전자,2025,11011,OFS,자산총계,358902051000000
00126380,삼성전자,2025,11011,OFS,부채총계,104571968000000
00126380,삼성전자,2025,11011,OFS,자본총계,254330083000000
00126380,삼성전자,2025,11011,OFS,매출액,238043009000000
00126380,삼성전자,2025,11011,OFS,매출원가,165994290000000
00126380,삼성전자,2025,11011,OFS,매출총이익,72048719000000
00126380,삼성전자,2025,11011,OFS,영업이익,23603619000000
00126380,삼성전자,2025,11011,OFS,당기순이익,33686601000000
